diagnosis_code,diagnosis_group
DX001,Cardiovascular
DX002,Digestive
DX003,Musculoskeletal
DX004,Neurologic
DX005,Oncology
DX006,Respiratory
DX007,General
DX008,Cardiovascular
DX009,Digestive
DX010,Musculoskeletal
DX011,Neurologic
DX012,Oncology
DX013,Respiratory
DX014,General
DX015,Cardiovascular
DX016,Digestive
DX017,Musculoskeletal
DX018,Neurologic
DX019,Oncology
DX020,Respiratory
DX021,General
DX022,Cardiovascular
DX023,Digestive
DX024,Musculoskeletal
DX025,Neurologic
DX026,Oncology
DX027,Respiratory
DX028,General
DX029,Cardiovascular
DX030,Digestive
