procedure_code,procedure_name,service_category,intensity_level,base_allowed_amount
PX001,Synthetic Procedure 01,Professional,2,465.5
PX002,Synthetic Procedure 02,Imaging,2,468.03
PX003,Synthetic Procedure 03,Laboratory,1,75.02
PX004,Synthetic Procedure 04,Facility,2,424.49
PX005,Synthetic Procedure 05,Therapy,1,322.4
PX006,Synthetic Procedure 06,Emergency,1,390.08
PX007,Synthetic Procedure 07,Professional,2,350.98
PX008,Synthetic Procedure 08,Imaging,5,573.91
PX009,Synthetic Procedure 09,Laboratory,3,751.07
PX010,Synthetic Procedure 10,Facility,3,227.5
PX011,Synthetic Procedure 11,Therapy,3,723.99
PX012,Synthetic Procedure 12,Emergency,3,138.65
PX013,Synthetic Procedure 13,Professional,4,786.23
PX014,Synthetic Procedure 14,Imaging,2,146.65
PX015,Synthetic Procedure 15,Laboratory,4,1118.11
PX016,Synthetic Procedure 16,Facility,2,613.58
PX017,Synthetic Procedure 17,Therapy,3,924.75
PX018,Synthetic Procedure 18,Emergency,5,885.79
PX019,Synthetic Procedure 19,Professional,5,1046.09
PX020,Synthetic Procedure 20,Imaging,4,422.25
PX021,Synthetic Procedure 21,Laboratory,2,698.19
PX022,Synthetic Procedure 22,Facility,1,501.45
PX023,Synthetic Procedure 23,Therapy,2,98.66
PX024,Synthetic Procedure 24,Emergency,5,334.57
PX025,Synthetic Procedure 25,Professional,2,455.66
PX026,Synthetic Procedure 26,Imaging,1,235.85
PX027,Synthetic Procedure 27,Laboratory,1,592.37
PX028,Synthetic Procedure 28,Facility,1,467.13
PX029,Synthetic Procedure 29,Therapy,4,245.98
PX030,Synthetic Procedure 30,Emergency,2,570.68
PX031,Synthetic Procedure 31,Professional,2,76.95
PX032,Synthetic Procedure 32,Imaging,5,1344.88
PX033,Synthetic Procedure 33,Laboratory,3,154.19
PX034,Synthetic Procedure 34,Facility,3,260.03
PX035,Synthetic Procedure 35,Therapy,5,359.89
PX036,Synthetic Procedure 36,Emergency,2,758.49
PX037,Synthetic Procedure 37,Professional,1,380.08
PX038,Synthetic Procedure 38,Imaging,2,335.28
PX039,Synthetic Procedure 39,Laboratory,4,1085.79
PX040,Synthetic Procedure 40,Facility,1,377.91
