provider_id,specialty,region,network_status,review_score,priority_band,review_reasons,claim_count,unique_members,total_allowed,avg_allowed,claims_per_member,repeat_pattern_share,high_intensity_share,claim_volume_change_pct,allowed_change_pct,associated_review_spend
P0296,Radiology,South,In Network,77.7,Very High,COST_ABOVE_SPECIALTY_PEERS; CLAIM_FREQUENCY_ABOVE_PEERS; HIGH_INTENSITY_MIX; SUDDEN_BEHAVIOR_CHANGE; MULTIVARIATE_ANOMALY,189,141,148627.04,786.3864550264551,1.3404255319148937,0.0,0.3544973544973545,276.47058823529414,532.6229555679997,148627.04
P0146,Family Medicine,West,In Network,75.2,Very High,COST_ABOVE_SPECIALTY_PEERS; CLAIM_FREQUENCY_ABOVE_PEERS; HIGH_INTENSITY_MIX; SUDDEN_BEHAVIOR_CHANGE; MULTIVARIATE_ANOMALY,161,114,131843.08,818.9011180124223,1.412280701754386,0.0,0.36024844720496896,266.6666666666667,472.57793008652106,131843.08
P0048,Oncology,Northeast,In Network,63.0,High,COST_ABOVE_SPECIALTY_PEERS; CLAIM_FREQUENCY_ABOVE_PEERS; SUDDEN_BEHAVIOR_CHANGE; MULTIVARIATE_ANOMALY,190,142,138755.72,730.2932631578948,1.3380281690140845,0.010526315789473684,0.23157894736842105,215.0,391.2455409383363,138755.72
P0322,Orthopedics,Northeast,In Network,62.3,High,CLAIM_FREQUENCY_ABOVE_PEERS; SUDDEN_BEHAVIOR_CHANGE; MULTIVARIATE_ANOMALY,317,265,233713.9,737.2678233438486,1.1962264150943396,0.006309148264984227,0.29652996845425866,176.66666666666666,340.3379733046232,233713.9
P0223,Family Medicine,South,In Network,53.6,Moderate,COST_ABOVE_SPECIALTY_PEERS; SUDDEN_BEHAVIOR_CHANGE; MULTIVARIATE_ANOMALY,92,92,107168.59,1164.8759782608695,1.0,0.0,0.29347826086956524,85.71428571428571,255.69634270727093,0.0
P0083,Orthopedics,South,In Network,53.6,Moderate,COST_ABOVE_SPECIALTY_PEERS; CLAIM_FREQUENCY_ABOVE_PEERS; MULTIVARIATE_ANOMALY,967,891,1249165.22,1291.794436401241,1.085297418630752,0.0,0.281282316442606,-2.3255813953488373,-11.478316128920724,0.0
P0062,Emergency Medicine,South,In Network,53.4,Moderate,CLAIM_FREQUENCY_ABOVE_PEERS; SUDDEN_BEHAVIOR_CHANGE; MULTIVARIATE_ANOMALY,342,288,237225.12,693.640701754386,1.1875,0.005847953216374269,0.2134502923976608,212.0,349.8737483829295,0.0
P0312,Family Medicine,West,In Network,52.0,Moderate,COST_ABOVE_SPECIALTY_PEERS; HIGH_INTENSITY_MIX; MULTIVARIATE_ANOMALY,234,228,198072.06,846.4617948717948,1.0263157894736843,0.0,1.0,45.45454545454545,81.5091783904626,0.0
P0197,Dermatology,Midwest,Out of Network,50.8,Moderate,COST_ABOVE_SPECIALTY_PEERS; CLAIM_FREQUENCY_ABOVE_PEERS,596,523,465785.73,781.5196812080536,1.1395793499043978,0.1342281879194631,0.3053691275167785,29.508196721311474,23.88986598724624,0.0
P0233,Neurology,South,In Network,50.2,Moderate,COST_ABOVE_SPECIALTY_PEERS; HIGH_INTENSITY_MIX,193,190,161015.86,834.2790673575129,1.0157894736842106,0.0,1.0,4.0,61.58848409187852,0.0
